
AirForce,,p,
AirForce,, ,
AirForce,, ,
AirForce,, ,
AirForce,,
AirForce,,p,
AirForce,2004,9/11,vs.,Eastern Washington (non-IA),W,42,20,
AirForce,2004,9/18,@,Nevada-LasVegas,W,27,10,
AirForce,2004,9/25,@,Utah,L,35,49,
AirForce,2004,9/30,vs.,Navy,L,21,24,
AirForce,2004,10/9,vs.,NewMexico,W,28,23,
AirForce,2004,10/23,vs.,BrighamYoung,L,24,41,
AirForce,2004,10/30,@,Wyoming,L,26,43,
AirForce,2004,11/6,@,Army,W,31,22,
AirForce,2004,11/13,vs.,SanDiegoState,L,31,37,
AirForce,2004,11/20,vs.,ColoradoState,W,47,17,
AirForce,2004, ,p, ,326,342,
AirForce,2004,p,
AirForce,2003,8/30,vs.,Wofford (non-IA),W,49,0,
AirForce,2003,9/6,@,Northwestern,W,22,21,
AirForce,2003,9/13,vs.,NorthTexas,W,34,21,
AirForce,2003,9/20,vs.,Wyoming,W,35,29,
AirForce,2003,9/27,@,BrighamYoung,W,24,10,
AirForce,2003,10/4,vs.,Navy,L,25,28,@ Landover, MD,
AirForce,2003,10/11,vs.,Nevada-LasVegas,W,24,7,
AirForce,2003,10/16,@,ColoradoState,L,20,30,
AirForce,2003,11/1,vs.,Utah,L,43,45,
AirForce,2003,11/8,vs.,Army,W,31,3,
AirForce,2003,11/15,@,NewMexico,L,12,24,
AirForce,2003,11/22,@,SanDiegoState,L,3,24,
AirForce,2003, ,p, ,322,242,
AirForce,2003,p,
AirForce,2002,8/31,vs.,Northwestern,W,52,3,
AirForce,2002,9/7,vs.,NewMexico,W,38,31,
AirForce,2002,9/21,@,California,W,23,21,
AirForce,2002,9/28,@,Utah,W,30,26,
AirForce,2002,10/5,vs.,Navy,W,48,7,
AirForce,2002,10/12,vs.,BrighamYoung,W,52,9,
AirForce,2002,10/19,vs.,NotreDame,L,14,21,
AirForce,2002,10/26,@,Wyoming,L,26,34,
AirForce,2002,10/31,vs.,ColoradoState,L,12,31,
AirForce,2002,11/9,@,Army,W,49,30,
AirForce,2002,11/16,@,Nevada-LasVegas,W,49,32,
AirForce,2002,11/23,vs.,SanDiegoState,L,34,38,
AirForce,2002,12/31,vs.,VirginiaTech,L,13,20,@ San Francisco, CA,San Francisco Bowl,
AirForce,2002, ,p, ,440,303,
AirForce,2002,p,
AirForce,2001,9/1,vs.,Oklahoma,L,3,44,
AirForce,2001,9/8,vs.,Tennessee Tech (non-IA),W,42,0,
AirForce,2001,9/29,@,SanDiegoState,W,45,21,
AirForce,2001,10/6,vs.,Navy,W,24,18,@ Landover, MD,
AirForce,2001,10/13,vs.,Wyoming,W,24,13,
AirForce,2001,10/20,@,BrighamYoung,L,33,63,
AirForce,2001,10/27,@,NewMexico,L,33,52,
AirForce,2001,11/3,vs.,Army,W,34,24,
AirForce,2001,11/8,@,ColoradoState,L,21,28,
AirForce,2001,11/17,vs.,Nevada-LasVegas,L,10,34,
AirForce,2001,11/24,@,Hawaii,L,30,52,
AirForce,2001,12/1,vs.,Utah,W,38,37,
AirForce,2001, ,p, ,337,386,
AirForce,2001,p,
AirForce,2000,9/2,vs.,Northridge State (non-IA),W,55,6,
AirForce,2000,9/9,vs.,BrighamYoung,W,31,23,
AirForce,2000,9/23,@,Utah,W,23,14,
AirForce,2000,9/30,@,Nevada-LasVegas,L,13,34,
AirForce,2000,10/7,vs.,Navy,W,27,13,
AirForce,2000,10/14,@,Wyoming,W,51,34,
AirForce,2000,10/21,vs.,NewMexico,L,23,29,
AirForce,2000,10/28,@,NotreDame,L,31,34,
AirForce,2000,11/4,@,Army,W,41,27,
AirForce,2000,11/11,vs.,ColoradoState,W,44,40,
AirForce,2000,11/18,vs.,SanDiegoState,W,45,24,
AirForce,2000,12/31,vs.,FresnoState,W,37,34,@ San Jose, CA,Silicon Valley Bowl,
AirForce,2000, ,p, ,421,312,
AirForce,2000,p,
AirForce,1999,9/4,vs.,Villanova (non-IA),W,37,13,
AirForce,1999,9/18,@,Washington,W,31,21,
AirForce,1999,9/25,vs.,Wyoming,L,7,10,
AirForce,1999,10/2,@,SanDiegoState,W,23,22,
AirForce,1999,10/9,vs.,Navy,W,19,14,@ Landover, MD,
AirForce,1999,10/16,vs.,Utah,L,15,21,
AirForce,1999,10/30,@,BrighamYoung,L,20,27,
AirForce,1999,11/6,vs.,Army,W,28,0,
AirForce,1999,11/13,vs.,Nevada-LasVegas,W,35,16,
AirForce,1999,11/18,@,ColoradoState,L,21,41,
AirForce,1999,11/27,@,NewMexico,L,28,33,
AirForce,1999, ,p, ,264,218,
AirForce,1999,p,
AirForce,1998,9/5,vs.,WakeForest,W,42,0,
AirForce,1998,9/12,@,Nevada-LasVegas,W,52,10,
AirForce,1998,9/17,vs.,ColoradoState,W,30,27,
AirForce,1998,9/26,@,TexasChristian,L,34,35,
AirForce,1998,10/3,vs.,NewMexico,W,56,14,
AirForce,1998,10/10,vs.,Navy,W,49,7,
AirForce,1998,10/24,@,Tulsa,W,42,21,
AirForce,1998,10/31,vs.,SouthernMethodist,W,31,7,
AirForce,1998,11/7,@,Army,W,35,7,
AirForce,1998,11/14,@,Wyoming,W,10,3,
AirForce,1998,11/21,vs.,Rice,W,22,16,
AirForce,1998,12/5,vs.,BrighamYoung,W,20,13,@ Las Vegas, NV,WAC Championship,
AirForce,1998,12/25,vs.,Washington,W,45,25,@ Honolulu, HI,Oahu Classic,
AirForce,1998, ,p, ,468,185,
AirForce,1998,p,
AirForce,1997,8/30,vs.,Idaho,W,14,10,
AirForce,1997,9/6,@,Rice,W,41,12,
AirForce,1997,9/13,vs.,Nevada-LasVegas,W,25,24,
AirForce,1997,9/20,@,ColoradoState,W,24,0,
AirForce,1997,9/27,vs.,SanDiegoState,W,24,18,
AirForce,1997,10/4,vs.,Citadel (non-IA),W,17,3,
AirForce,1997,10/11,@,Navy,W,10,7,
AirForce,1997,10/18,vs.,FresnoState,L,17,20,
AirForce,1997,10/25,@,SanJoseState,L,22,25,
AirForce,1997,11/1,@,Hawaii,W,34,27,
AirForce,1997,11/8,vs.,Army,W,24,0,
AirForce,1997,11/15,vs.,Wyoming,W,14,3,
AirForce,1997,12/20,vs.,Oregon,L,13,41,@ Las Vegas, NV,Las Vegas Bowl,
AirForce,1997, ,p, ,279,190,
AirForce,1997,p,
AirForce,1996,8/31,vs.,SanJoseState,W,45,0,
AirForce,1996,9/7,@,Nevada-LasVegas,W,65,17,
AirForce,1996,9/21,@,Wyoming,L,19,22,
AirForce,1996,9/28,vs.,Rice,W,45,17,
AirForce,1996,10/12,vs.,Navy,L,17,20,
AirForce,1996,10/19,@,NotreDame,W,20,17,
AirForce,1996,10/26,vs.,Hawaii,W,34,7,
AirForce,1996,11/2,vs.,ColoradoState,L,41,42,
AirForce,1996,11/9,@,Army,L,7,23,
AirForce,1996,11/16,@,FresnoState,W,44,38,
AirForce,1996,11/28,@,SanDiegoState,L,23,28,
AirForce,1996, ,p, ,360,231,
AirForce,1996,p,
AirForce,1995,9/2,vs.,BrighamYoung,W,38,12,
AirForce,1995,9/9,vs.,Wyoming,W,34,10,
AirForce,1995,9/16,vs.,ColoradoState,L,20,27,
AirForce,1995,9/23,@,Northwestern,L,6,30,
AirForce,1995,9/30,@,NewMexico,W,27,24,
AirForce,1995,10/7,vs.,Texas-ElPaso,W,56,46,
AirForce,1995,10/14,@,Navy,W,30,20,
AirForce,1995,10/21,@,Utah,L,21,22,
AirForce,1995,10/28,@,FresnoState,W,31,20,
AirForce,1995,11/11,vs.,Army,W,38,20,
AirForce,1995,11/18,vs.,NotreDame,L,14,44,
AirForce,1995,11/25,@,Hawaii,W,45,28,
AirForce,1995,12/27,vs.,TexasTech,L,41,55,@ Tucson, AZ,Copper Bowl,
AirForce,1995, ,p, ,401,358,
AirForce,1995,p,
AirForce,1994,9/3,vs.,ColoradoState,L,21,34,
AirForce,1994,9/10,vs.,BrighamYoung,L,21,45,
AirForce,1994,9/17,vs.,Northwestern,L,10,14,
AirForce,1994,9/24,vs.,Texas-ElPaso,W,47,7,@ San Antonio, TX,
AirForce,1994,10/1,@,SanDiegoState,W,36,35,
AirForce,1994,10/8,vs.,Navy,W,43,21,
AirForce,1994,10/22,vs.,FresnoState,W,42,7,
AirForce,1994,10/29,@,Wyoming,W,34,17,
AirForce,1994,11/5,@,Army,W,10,6,
AirForce,1994,11/12,vs.,Utah,W,40,33,
AirForce,1994,11/19,@,NotreDame,L,30,42,
AirForce,1994,12/3,@,Hawaii,W,37,24,
AirForce,1994, ,p, ,371,285,
AirForce,1994,p,
AirForce,1993,9/4,vs.,Indiana State (non-IA),W,63,21,
AirForce,1993,9/11,@,ColoradoState,L,5,8,
AirForce,1993,9/18,vs.,SanDiegoState,L,31,38,
AirForce,1993,9/25,@,BrighamYoung,L,3,30,
AirForce,1993,10/2,vs.,Wyoming,L,18,31,
AirForce,1993,10/9,@,Navy,L,24,28,
AirForce,1993,10/16,@,FresnoState,L,20,33,
AirForce,1993,10/23,vs.,Citadel (non-IA),W,35,0,
AirForce,1993,10/30,vs.,Texas-ElPaso,W,31,10,
AirForce,1993,11/6,vs.,Army,W,25,6,
AirForce,1993,11/13,@,Utah,L,24,41,
AirForce,1993,11/20,@,Hawaii,L,17,45,
AirForce,1993, ,p, ,296,291,
AirForce,1993,p,
AirForce,1992,9/5,vs.,Rice,W,30,21,
AirForce,1992,9/12,vs.,Hawaii,L,3,6,
AirForce,1992,9/19,@,Wyoming,W,42,28,
AirForce,1992,9/26,vs.,NewMexico,W,33,32,
AirForce,1992,10/3,@,Texas-ElPaso,W,28,22,
AirForce,1992,10/10,vs.,Navy,W,18,16,
AirForce,1992,10/17,vs.,ColoradoState,L,28,32,
AirForce,1992,10/24,@,SanDiegoState,W,20,17,
AirForce,1992,10/31,vs.,Utah,L,13,20,
AirForce,1992,11/7,@,Army,W,7,3,
AirForce,1992,11/14,vs.,BrighamYoung,L,7,28,
AirForce,1992,12/31,vs.,Mississippi,L,0,13,@ Memphis, TN,Liberty Bowl,
AirForce,1992, ,p, ,229,238,
AirForce,1992,p,
AirForce,1991,8/31,vs.,Weber State (non-IA),W,48,31,
AirForce,1991,9/7,@,ColoradoState,W,31,26,
AirForce,1991,9/14,@,Utah,W,24,21,
AirForce,1991,9/21,vs.,SanDiegoState,W,21,20,
AirForce,1991,9/28,@,BrighamYoung,L,7,21,
AirForce,1991,10/5,vs.,Wyoming,W,51,28,
AirForce,1991,10/12,@,Navy,W,46,6,
AirForce,1991,10/19,vs.,NotreDame,L,15,28,
AirForce,1991,10/26,vs.,Texas-ElPaso,W,20,13,
AirForce,1991,11/2,@,NewMexico,L,32,34,
AirForce,1991,11/9,vs.,Army,W,25,0,
AirForce,1991,11/23,@,Hawaii,W,24,20,
AirForce,1991,12/29,vs.,MississippiState,W,38,15,@ Memphis, TN,Liberty Bowl,
AirForce,1991, ,p, ,382,263,
AirForce,1991,p,
AirForce,1990,9/1,vs.,ColoradoState,L,33,35,
AirForce,1990,9/8,vs.,Hawaii,W,27,3,
AirForce,1990,9/15,vs.,Citadel (non-IA),W,10,7,
AirForce,1990,9/22,@,Wyoming,L,12,24,
AirForce,1990,9/29,@,SanDiegoState,L,18,48,
AirForce,1990,10/6,vs.,Navy,W,24,7,
AirForce,1990,10/13,@,NotreDame,L,27,57,
AirForce,1990,10/27,vs.,Utah,W,52,21,
AirForce,1990,11/3,vs.,BrighamYoung,L,7,54,
AirForce,1990,11/10,@,Army,W,15,3,
AirForce,1990,11/17,@,Texas-ElPaso,W,14,13,
AirForce,1990,12/27,vs.,OhioState,W,23,11,@ Memphis, TN,Liberty Bowl,
AirForce,1990, ,p, ,262,283,
AirForce,1990,p,
AirForce,1989,9/2,vs.,SanDiegoState,W,52,36,
AirForce,1989,9/10,vs.,Wyoming,W,45,7,
AirForce,1989,9/16,@,Northwestern,W,48,31,
AirForce,1989,9/23,vs.,Texas-ElPaso,W,43,26,
AirForce,1989,9/30,@,ColoradoState,W,46,21,
AirForce,1989,10/7,@,Navy,W,35,7,
AirForce,1989,10/14,vs.,NotreDame,L,27,41,
AirForce,1989,10/21,@,TexasChristian,L,9,27,
AirForce,1989,11/4,vs.,Army,W,29,3,
AirForce,1989,11/11,@,BrighamYoung,L,35,44,
AirForce,1989,11/25,@,Utah,W,42,38,
AirForce,1989,12/9,@,Hawaii,T,35,35,
AirForce,1989,12/28,vs.,Mississippi,L,29,42,@ Memphis, TN,Liberty Bowl,
AirForce,1989, ,p, ,475,358,
AirForce,1989,p,
AirForce,1988,9/3,@,ColoradoState,W,29,23,
AirForce,1988,9/11,@,SanDiegoState,L,36,39,
AirForce,1988,9/17,vs.,Northwestern,W,62,27,
AirForce,1988,9/24,vs.,Wyoming,L,45,48,
AirForce,1988,10/1,vs.,NewMexico,W,63,14,
AirForce,1988,10/8,vs.,Navy,W,34,24,
AirForce,1988,10/15,@,Utah,W,56,49,
AirForce,1988,10/22,@,NotreDame,L,13,41,
AirForce,1988,11/5,@,Army,L,15,28,
AirForce,1988,11/12,vs.,BrighamYoung,L,31,49,
AirForce,1988,11/19,@,Texas-ElPaso,L,24,31,
AirForce,1988,11/26,@,Hawaii,L,14,19,
AirForce,1988, ,p, ,422,392,
AirForce,1988,p,
AirForce,1987,9/5,@,Wyoming,L,13,27,
AirForce,1987,9/12,vs.,TexasChristian,W,21,10,
AirForce,1987,9/19,vs.,SanDiegoState,W,49,7,
AirForce,1987,9/26,@,ColoradoState,W,27,19,
AirForce,1987,10/3,vs.,Utah,W,48,27,
AirForce,1987,10/10,@,Navy,W,23,13,
AirForce,1987,10/17,vs.,NotreDame,L,14,35,
AirForce,1987,10/24,vs.,Texas-ElPaso,W,35,7,
AirForce,1987,10/31,@,BrighamYoung,L,13,24,
AirForce,1987,11/7,vs.,Army,W,27,10,
AirForce,1987,11/14,@,NewMexico,W,73,26,
AirForce,1987,11/21,@,Hawaii,W,34,31,
AirForce,1987,12/30,vs.,ArizonaState,L,28,33,@ Anaheim, CA,Freedom Bowl,
AirForce,1987, ,p, ,405,269,
AirForce,1987,p,
AirForce,1986,8/30,vs.,Hawaii,W,24,17,
AirForce,1986,9/6,@,Texas-ElPaso,W,23,21,
AirForce,1986,9/20,vs.,Wyoming,L,17,23,
AirForce,1986,9/27,vs.,ColoradoState,W,24,7,
AirForce,1986,10/3,@,Utah,W,45,35,
AirForce,1986,10/11,vs.,Navy,W,40,6,
AirForce,1986,10/18,@,NotreDame,L,3,31,
AirForce,1986,10/25,@,SanDiegoState,W,22,10,
AirForce,1986,11/8,@,Army,L,11,21,
AirForce,1986,11/22,@,Rice,L,17,21,
AirForce,1986,12/6,vs.,BrighamYoung,L,3,23,
AirForce,1986, ,p, ,229,215,
AirForce,1986,p,
AirForce,1985,8/31,vs.,Texas-ElPaso,W,48,6,
AirForce,1985,9/14,@,Wyoming,W,49,7,
AirForce,1985,9/21,vs.,Rice,W,59,17,
AirForce,1985,9/28,@,NewMexico,W,49,12,
AirForce,1985,10/5,vs.,NotreDame,W,21,15,
AirForce,1985,10/12,@,Navy,W,24,7,
AirForce,1985,10/19,@,ColoradoState,W,35,19,
AirForce,1985,10/26,vs.,Utah,W,37,15,
AirForce,1985,11/2,vs.,SanDiegoState,W,31,10,
AirForce,1985,11/9,vs.,Army,W,45,7,
AirForce,1985,11/16,@,BrighamYoung,L,21,28,
AirForce,1985,11/23,@,Hawaii,W,27,20,
AirForce,1985,12/31,vs.,Texas,W,24,16,@ Houston, TX,Bluebonnet Bowl,
AirForce,1985, ,p, ,470,179,
AirForce,1985,p,
AirForce,1984,9/1,vs.,SanDiegoState,W,34,16,
AirForce,1984,9/8,vs.,Northern Colorado (non-IA),W,75,7,
AirForce,1984,9/15,@,Wyoming,L,20,26,
AirForce,1984,9/22,@,Utah,L,17,28,
AirForce,1984,9/29,vs.,ColoradoState,W,52,10,
AirForce,1984,10/6,vs.,Navy,W,29,22,
AirForce,1984,10/13,@,NotreDame,W,21,7,
AirForce,1984,10/20,vs.,BrighamYoung,L,25,30,
AirForce,1984,11/3,@,Army,L,12,24,
AirForce,1984,11/10,@,NewMexico,W,23,9,
AirForce,1984,11/24,@,Texas-ElPaso,W,38,12,
AirForce,1984,12/15,vs.,VirginiaTech,W,23,7,@ Shreveport, LA,Independence Bowl,
AirForce,1984, ,p, ,369,198,
AirForce,1984,p,
